build,computer.platform,computer.touch,date,time,subject,group,sessionid,blockcode,blocknum,trialcode,latency,randStart,startPos,scrfunc,rtvspos,randStart,mag,freq,ev,inc,rng,startPos,fogPos1,fogPos2,chooseUncertainty1,chooseUncertainty2,uncertaintyCount1,uncertaintyCount2,blockCount,ntrials,trialCount,uncertaintyStart1,uncertaintyStart2,uncertainty_block,rt_shifted,totalPoints,totalEarnings,Earnings
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,47,DEV,POS,1,84,0.272594961,22.83072482,1,0.687797306,47,50,15,0,0,0,0,2,36,2,9,31,0,4095,1867,133,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,409,1,47,DEV,POS,1,,,,,,47,50,15,0,0,0,0,2,36,2,9,31,0,4095,1867,133,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,47,DEV,POS,1,86,0.279567376,23.92322572,86,0.143178112,47,50,15,0,0,0,0,2,36,3,9,31,0,4009,1953,139,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,2760,1,6,DEV,POS,1,,,,,,6,50,15,0,0,0,0,2,36,3,9,31,0,4009,1953,139,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,6,DEV,POS,1,80,0.254429621,20.4031978,1,0.560704596,6,50,15,0,0,0,0,2,36,4,9,31,0,4310,1954,140,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,1465,1,33,DEV,POS,1,,,,,,33,50,15,0,0,0,0,2,36,4,9,31,0,4310,1954,140,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,33,DEV,POS,1,88,0.249581777,22.03834399,1,0.895449864,33,50,15,0,0,0,0,2,36,5,9,31,0,4365,1955,141,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,4269,1,74,DEV,POS,1,,,,,,74,50,15,0,0,0,0,2,36,5,9,31,0,4365,1955,141,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,74,DEV,POS,1,81,0.262261132,21.24540852,1,0.665991271,74,50,15,0,0,0,0,2,36,6,9,31,0,4219,1956,142,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,2192,1,15,DEV,POS,1,,,,,,15,50,15,0,0,0,0,2,36,6,9,31,0,4219,1956,142,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,15,DEV,POS,1,83,0.264542529,21.94474586,83,0.163534183,15,50,15,0,0,0,0,2,36,7,9,31,0,4192,2039,148,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,1800,1,98,DEV,POS,1,,,,,,98,50,15,0,0,0,0,2,36,7,9,31,0,4192,2039,148,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,98,DEV,POS,1,80,0.363679148,29.10336001,1,0.920806222,98,50,15,0,0,0,0,2,36,8,9,31,0,2950,2040,149,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_noU,317,1,34,DEV,POS,1,,,,,,34,50,15,0,0,0,0,2,36,8,9,31,0,2950,2040,149,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_noU,1000,1,34,DEV,POS,1,87,0.337301389,29.29720744,1,0.950741647,34,50,15,0,0,0,0,2,36,9,9,31,1,3267,2041,150,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,1567,1,57,DEV,POS,1,,,,,,57,50,15,0,0,0,0,2,36,9,9,31,1,3267,2041,150,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,57,DEV,POS,1,72,0.722849099,52.1924072,72,0.17580762,57,50,15,1,0,1,0,2,36,10,9,31,1,667,2113,155,5
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,400,1,96,DEV,POS,1,,,,,,96,50,15,1,0,1,0,2,36,10,9,31,1,667,2113,155,5
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,96,DEV,POS,1,78,0.555991007,43.21842149,78,0.500116342,96,50,15,1,0,2,0,2,36,11,9,31,1,1450,2191,161,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,1726,1,50,DEV,POS,1,,,,,,50,50,15,1,0,2,0,2,36,11,9,31,1,1450,2191,161,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,50,DEV,POS,1,67,0.770714712,51.40570115,1,0.968127175,50,50,15,2,0,3,0,2,36,12,9,31,1,476,2192,162,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,3319,1,31,DEV,POS,1,,,,,,31,50,15,2,0,3,0,2,36,12,9,31,1,476,2192,162,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,31,DEV,POS,1,72,0.620503061,44.71371232,1,0.783549018,31,50,15,2,0,4,0,2,36,13,9,31,1,1119,2193,163,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,672,1,91,DEV,POS,1,,,,,,91,50,15,2,0,4,0,2,36,13,9,31,1,1119,2193,163,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,91,DEV,POS,1,77,0.552021196,42.41401689,77,0.181183889,91,50,15,2,0,5,0,2,36,14,9,31,1,1472,2270,169,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,1716,1,71,DEV,POS,1,,,,,,71,50,15,2,0,5,0,2,36,14,9,31,1,1472,2270,169,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,71,DEV,POS,1,77,0.544199636,41.92219607,1,0.600103193,71,50,15,2,0,6,0,2,36,15,9,31,1,1516,2271,170,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,430,1,3,DEV,POS,1,,,,,,3,50,15,2,0,6,0,2,36,15,9,31,1,1516,2271,170,1
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,3,DEV,POS,1,76,0.492866736,37.63517867,76,0.306652973,3,50,15,2,0,7,0,2,36,16,9,31,1,1830,2347,176,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,331,1,90,DEV,POS,1,,,,,,90,50,15,2,0,7,0,2,36,16,9,31,1,1830,2347,176,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,90,DEV,POS,1,70,0.628483097,43.89910614,70,0.038272741,90,50,15,2,0,8,0,2,36,17,9,31,1,1081,2417,181,5
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,349,1,4,DEV,POS,1,,,,,,4,50,15,2,0,8,0,2,36,17,9,31,1,1081,2417,181,5
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,4,DEV,POS,1,78,0.497592085,38.92984288,78,0.4937795,4,50,15,2,0,9,0,2,36,18,9,31,1,1799,2495,187,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,3693,1,40,DEV,POS,1,,,,,,40,50,15,2,0,9,0,2,36,18,9,31,1,1799,2495,187,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,40,DEV,POS,1,79,0.476254049,37.52724705,79,0.16343015,40,50,15,2,0,10,0,2,36,19,9,31,1,1943,2574,193,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,3911,1,25,DEV,POS,1,,,,,,25,50,15,2,0,10,0,2,36,19,9,31,1,1943,2574,193,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,25,DEV,POS,1,76,0.563125433,42.54365934,76,0.402797133,25,50,15,2,0,11,0,2,36,20,9,31,1,1411,2650,199,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,experiment_U,377,1,10,DEV,POS,1,,,,,,10,50,15,2,0,11,0,2,36,20,9,31,1,1411,2650,199,6
6.6.1,mac,0,2/15/23,16:20:58,12345,1,1,experiment,3,dispFeedback_U,1000,1,10,DEV,POS,1,76,0.451181405,34.50171284,1,0.947751984,10,50,15,2,0,12,0,2,36,21,9,31,1,2127,2651,200,1
